"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 06:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"45";"12";"714020"
"2016/12/13 06:00:00";"Suriname (Republic of)";"DIGICEL SURINAME (SR)";"MOVISTAR (PE)";"2";"1";"74603"
"2016/12/13 06:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"43";"6";"70403"
"2016/12/13 06:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"1";"1";"51010"
"2016/12/13 06:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"4220";"1367";"310260"
"2016/12/13 06:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"9";"7";"310170"
"2016/12/13 06:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"79";"50";"311480"
"2016/12/13 06:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"19";"7";"46000"
"2016/12/13 06:00:00";"Netherlands (Kingdom of the)";"TELFORT (NL)";"MOVISTAR (PE)";"4";"2";"20412"
"2016/12/13 06:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"3600";"1072";"20404"
"2016/12/13 06:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"146";"39";"26207"
"2016/12/13 06:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"2";"2";"50502"
"2016/12/13 07:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"31";"21";"22288"
"2016/12/13 07:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"14";"9";"22210"
"2016/12/13 07:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"7";"6";"44010"
"2016/12/13 07:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"17";"12";"21403"
"2016/12/13 07:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"26495";"9481";"21407"
"2016/12/13 07:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"61";"23";"72406"
"2016/12/13 07:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"120";"44";"72410"
"2016/12/13 07:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"23";"15";"302220"
"2016/12/13 07:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"31";"22";"302720"
"2016/12/13 07:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"4";"2";"23210"
"2016/12/13 07:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"19";"11";"20610"
"2016/12/13 07:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"2";"2";"74001"
"2016/12/13 07:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"368";"145";"74000"
"2016/12/13 07:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"1";"1";"52003"
"2016/12/13 07:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"25";"7";"710300"
"2016/12/13 07:00:00";"Israel (State of)";"ORANGE (IL)";"MOVISTAR (PE)";"6";"5";"42501"
"2016/12/13 07:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"453";"146";"72207"
"2016/12/13 07:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"1";"1";"45006"
"2016/12/13 07:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"2";"2";"45005"
"2016/12/13 07:00:00";"Albania (Republic of)";"VODAFONE (AL)";"MOVISTAR (PE)";"1";"1";"27602"
"2016/12/13 07:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"1";"1";"70402"
"2016/12/13 07:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"3548";"1143";"310260"
"2016/12/13 07:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"147";"91";"310120"
"2016/12/13 07:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"11";"11";"310170"
"2016/12/13 07:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"3";"1";"310380"
"2016/12/13 07:00:00";"El Salvador (Republic of)";"MOVISTAR (SV)";"MOVISTAR (PE)";"2";"2";"70604"
"2016/12/13 07:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"8";"6";"46002"
"2016/12/13 07:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"3488";"1008";"20404"
"2016/12/13 07:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"5";"4";"20416"
"2016/12/13 07:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"15";"12";"26201"
"2016/12/13 07:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"7";"5";"22803"
