"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2017/01/02 10:00:00";"United Arab Emirates";"ETISALAT (AE)";"MOVISTAR (PE)";"2";"1";"42402"
"2017/01/02 09:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"76";"38";"732111"
"2017/01/02 10:00:00";"Hongkong, China";"CSL LTD (HK)";"MOVISTAR (PE)";"8";"2";"45400"
"2017/01/02 09:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"8";"2";"51010"
"2017/01/02 09:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"2";"2";"70403"
"2017/01/02 09:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"231";"52";"26207"
"2017/01/02 09:00:00";"India (Republic of)";"VEEL VODAFONE (CALCUTA) (IN)";"MOVISTAR (PE)";"9";"1";"40430"
"2017/01/02 09:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"2";"2";"302610"
"2017/01/02 09:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"2";"1";"23002"
"2017/01/02 09:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"145";"71";"73601"
"2017/01/02 10:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"381";"165";"74000"
"2017/01/02 09:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"39";"13";"74807"
"2017/01/02 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"184";"86";"72406"
"2017/01/02 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"12";"5";"46000"
"2017/01/02 09:00:00";"Hongkong, China";"SMARTONE (HK)";"MOVISTAR (PE)";"5";"1";"45406"
"2017/01/02 10:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"724";"240";"72207"
"2017/01/02 10:00:00";"Cyprus (Republic of)";"CYTA (CY)";"MOVISTAR (PE)";"1";"1";"28001"
"2017/01/02 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"8";"6";"23420"
"2017/01/02 09:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"7";"7";"20820"
"2017/01/02 10:00:00";"Hongkong, China";"CHINA MOBILE (HK)";"MOVISTAR (PE)";"3";"2";"45412"
"2017/01/02 10:00:00";"Chile";"VTR (CL)";"MOVISTAR (PE)";"1";"1";"73008"
"2017/01/02 10:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"34";"12";"74807"
"2017/01/02 10:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"21";"7";"732123"
"2017/01/02 09:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"41";"32";"24008"
"2017/01/02 10:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"204";"116";"73001"
"2017/01/02 09:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"39";"9";"72423"
"2017/01/02 10:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"22";"10";"20610"
"2017/01/02 09:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"35";"8";"20416"
"2017/01/02 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"101";"38";"72411"
"2017/01/02 10:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"30";"16";"22288"
"2017/01/02 09:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"19";"9";"302720"
"2017/01/02 10:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"4";"1";"23002"
"2017/01/02 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"10";"6";"23415"
"2017/01/02 09:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"2";"1";"70402"
"2017/01/02 09:00:00";"Russian Federation";"MTS (RU)";"MOVISTAR (PE)";"15";"6";"25001"
"2017/01/02 10:00:00";"Canada";"VIDEOTRON (CA)";"MOVISTAR (PE)";"7";"4";"302500"
"2017/01/02 09:00:00";"Philippines (Republic of the)";"GLOBE TELECOM (PH)";"MOVISTAR (PE)";"3";"1";"51502"
"2017/01/02 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"35";"21";"302720"
"2017/01/02 09:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"12";"8";"26201"
"2017/01/02 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"ORANGE (GB)";"MOVISTAR (PE)";"6";"2";"23433"
"2017/01/02 10:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"65";"23";"334030"
"2017/01/02 10:00:00";"Turkey";"VODAFONE (TR)";"MOVISTAR (PE)";"1";"1";"28602"
"2017/01/02 09:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"9";"5";"20408"
"2017/01/02 10:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"396";"112";"310120"
"2017/01/02 10:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"3";"3";"21401"
"2017/01/02 10:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"92";"43";"732111"
"2017/01/02 10:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"4325";"1188";"20404"
"2017/01/02 09:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"2";"2";"74001"
